CVR Nummer,Navn,Kommune Navn
15754176,Slagelse Erhvervsforening Team Slagelse,SLAGELSE
41447281,Grundejerforeningen Hyllerupvej,SLAGELSE
34232261,Gravstenen.dk v/Thomas Worm Hansen,SLAGELSE
26476208,Handelsby.dk                      v/Brian M. Larsen,SLAGELSE
32331203,NETTOTELT ApS,SLAGELSE
33762186,ANPARTSSELSKABET AF 14. JUNI 2011,SLAGELSE
76011818,GRUNDEJERFORENINGEN MATR NR 29I,SLAGELSE
29716870,Dupont Consulting v/Jan Dupont Jensen,SLAGELSE
32624170,Slagelse Jazz Klub,SLAGELSE
42650463,MQ Invest ApS,SLAGELSE
